Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-09-12,Midsommar,2019,https://boxd.it/3dzzQd,4,,🌼🌺🌺🌼🌻🌻🏵,,
2022-09-12,The Shining,1980,https://boxd.it/3dzBVT,5,,"wendyy🙈
darling🙉
light of my life🙊",,
2022-09-12,The Batman,2022,https://boxd.it/3dzJ5r,5,,batman emo,,
2022-09-12,Blade Runner,1982,https://boxd.it/3dzMEf,5,,one more kiss dear,,
2022-09-12,2001: A Space Odyssey,1968,https://boxd.it/3dzOEh,4.5,,"tudo é que feito nesse filme é inacreditável pra época, mas é realmente assustador alguém em 1968 fazer uma inteligência artificial da forma que foi feita, se o filme fosse inteiro sobre o ato do hal já seria ótimo.",,
2022-10-30,Barbarian,2022,https://boxd.it/3nnIfr,3,,bizarro. bom. bebê. bnbria. barbarian.,,2022-10-29
2022-12-06,Blow-Up,1966,https://boxd.it/3ve7zX,2,,não é pra mim eu acho,,2022-12-05
2023-01-06,Death Note,2017,https://boxd.it/3ElH5J,1,,"eu queria dar nota muito baixa pra algum filme que eu ja tenha visto e me apareceu essa pérola aqui
(1 estrela é pq o dafoe é a voz do ryuk)",,
2023-07-18,The Game,1997,https://boxd.it/4xhix1,3.5,,"assistir este de madrugada com sono é perigoso, terminei o filme e acho que na verdade tava dormindo o tempo todo e tive um longo sonho febril. talvez tenha que assistir de novo pq chegou num momento que eu não sabia se era filme, sonho, ou meus gatos encenando um muito bem planejado jogo comigo
diga-se de passagem a cinematografia desse filme é sensacional, mesmo em momentos que o roteiro parece não fazer mais sentido, o padrão fincher é invejável",90s,2023-07-17
